id,type,address,number,postal_code,municipality,province,location,public,available,hours,coord_x,coord_y,Latitude AED,Longitude AED
10579.0,,Augustijnenlaan,31.0,2200,Herentals,Antwerpen,,Y,,,51.14556666666667,4.830633333333334,51.1766915,4.8472154
10580.0,,Koningin Astridplein,26.0,2018,Antwerpen,Antwerpen,,Y,,,51.2199,4.4035,51.21816135,4.421577847543087
10581.0,,Koningin Astridplein,26.0,2018,Antwerpen,Antwerpen,,Y,,,51.2199,4.4035,51.21816135,4.421577847543087
10582.0,,Rue de l Europe,11.0,7600,Péruwelz,Hainaut,,Y,,,50.5082,3.5937,50.5082,3.5937
10583.0,,Lammerdries-oost,25.0,2250,Olen,Antwerpen,,Y,,,51.1439,4.8598,51.1493044,4.9136268
10584.0,,Rue Rodolphe Bernard,39.0,4140,Sprimont,Liège,,y,,,50.520225,5.65615,50.520225,5.65615
10585.0,,Rue du Néronry,19.0,4140,Sprimont,Liège,,y,,,50.520225,5.65615,50.5132841,5.6624693
10586.0,,Radiatorenstraat,19.0,1800,Vilvoorde,Vlaams-Brabant,,y,,,50.92905,4.44065,50.9373995,4.4211114
10587.0,,Radiatorenstraat,19.0,1800,Vilvoorde,Vlaams-Brabant,,y,,,50.92905,4.44065,50.9373995,4.4211114
10588.0,,Kartuizersweg,1.0,2550,Kontich,Antwerpen,,y,,,51.11905,4.45095,51.1251446,4.4228793
10589.0,,Kartuizersweg,1.0,2550,Kontich,Antwerpen,,y,,,51.11905,4.45095,51.1251446,4.4228793
10590.0,,Bijkhoevelaan,6.0,2110,Wijnegem,Antwerpen,,y,,,51.2279,4.5189,51.235643,4.4923065
10591.0,,Prins Boudewijnlaan,17.0,2550,Kontich,Antwerpen,,y,,,51.11905,4.45095,51.2472075,4.599023
10592.0,,Rue René Descartes,18.0,7000,Mons,Hainaut,,y,,,50.4541,3.9523,50.4541,3.9523
10593.0,,Industrielaan,,9320,Erembodegem,Oost-Vlaanderen,,y,,,50.92145,4.02735,51.1482228,4.02735
10594.0,,Industrielaan,,9320,Erembodegem,Oost-Vlaanderen,,y,,,50.92145,4.02735,51.1482228,4.02735
10595.0,,Industrielaan,,9320,Erembodegem,Oost-Vlaanderen,,y,,,50.92145,4.02735,51.1482228,4.02735
10596.0,,Hoevensebaan,49.0,2950,Kapellen,Antwerpen,,y,,,51.3138,4.4354,51.3147697,4.42893
10597.0,,Leeuwerikstraat,10.0,3930,Hamont-Achel,Limburg,,y,,,51.252,5.510866666666666,51.3215029,5.510866666666666
10598.0,,Rue Rome ,1.0,6940,Durbuy,Luxembourg,,y,,,50.34262,5.4621200000000005,50.34262,5.4621200000000005
10599.0,,Rue Rome ,1.0,6940,Durbuy,Luxembourg,,y,,,50.34262,5.4621200000000005,50.34262,5.4621200000000005
10600.0,,Rue Rome ,1.0,6940,Durbuy,Luxembourg,,y,,,50.34262,5.4621200000000005,50.34262,5.4621200000000005
10601.0,,Avenue de Mérode,75.0,1330,Rixensart,Brabant Wallon,,y,,,50.7123,4.5253,50.712876,4.5581403
10602.0,,Colline du Glain,33.0,1330,Rixensart,Brabant Wallon,,y,,,50.7123,4.5253,50.7217625,4.518042
10603.0,,Rue Bois Frion,109.0,6110,Montigny-le-Tilleul,Hainaut,,y,,,50.3806,4.3758,50.3784215,4.3681994
10604.0,,Roderveldlaan,3.0,2600,Berchem,Antwerpen,,y,,,51.1902,4.4326,51.1842996,4.4449727
10605.0,,Roderveldlaan,1.0,2600,Berchem,Antwerpen,,y,,,51.1902,4.4326,51.1842996,4.4449727
10606.0,,Berchelstadionstraat,78.0,2600,Berchem,Antwerpen,,y,,,51.1902,4.4326,51.1902,4.4326
10607.0,,Noorderlaan,500.0,2030,Antwerpen,Antwerpen,,y,,,51.2199,4.4035,51.2614163,4.419407
10608.0,,Noorderlaan,500.0,2030,Antwerpen,Antwerpen,,y,,,51.2199,4.4035,51.2614163,4.419407
10609.0,,Noorderlaan,500.0,2030,Antwerpen,Antwerpen,,y,,,51.2199,4.4035,51.2614163,4.419407
10610.0,,Noorderlaan,500.0,2030,Antwerpen,Antwerpen,,y,,,51.2199,4.4035,51.2614163,4.419407
10611.0,,Boulevard Indistriel,86.0,7700,Mouscron,Hainaut,,y,,,50.74225,3.2212,50.74225,3.2212
10612.0,,Rue de la Paix,3.0,4500,Thiange,Liège,,y,,,50.517566666666674,5.227133333333334,50.517566666666674,5.227133333333334
10613.0,,Keer der Vlamingenstraat,6.0,8500,Kortrijk,West-Vlaanderen,,y,,,50.828,3.2649,50.8250018,3.2698525
10614.0,,Rue Dampremy,73.0,6000,Charleroi,Hainaut,,y,,,50.4114,4.4445,50.4304754,4.4203313
10615.0,,Rue des Marcottes,1.0,7000,Mons,Hainaut,,y,,,50.4541,3.9523,50.4541,3.9523
10616.0,,Renier Sniedersstraat,,2300,Turnhout,Antwerpen,,y,,,51.3225,4.9447,51.3175085,4.8612017
10617.0,,Ridder Portmanstraat,16.0,3500,Hasselt,Limburg,,y,,,50.915099999999995,5.32285,50.915099999999995,5.32285
10618.0,,Sint-Katelijnevest  (Eiermarkt building),54.0,2000,Antwerpen,Antwerpen,,y,,,51.2199,4.4035,51.2199,4.4035
10619.0,,Rue Paradis,50.0,4000,Liège,Liège,,y,,,50.6524,5.552499999999999,50.6524,5.552499999999999
10620.0,,Passage de la Poste,1.0,7700,Luingne,Hainaut,,y,,,50.74225,3.2212,50.74225,3.2212
10621.0,,Rue des Déportes ,50.0,6700,Arlon,Luxembourg,,y,,,49.686575000000005,5.7898499999999995,49.686575000000005,5.7898499999999995
10622.0,,Rue Trieu des Gouttes,72.0,5080,Emines,Namur,,y,,,50.5274,4.83218,50.5274,4.83218
10623.0,,Delften ,6.0,2390,Malle,Antwerpen,,y,,,51.298966666666665,4.711433333333333,51.2855386,4.7095763
10624.0,,Gospertstrasse,,4700,Eupen,Liège,,y,,,50.6279,6.0365,50.6320408,6.0352818
10625.0,,Riemenstraat,,2290,Vorselaar,Antwerpen,,y,,,51.2024,4.7726,51.2057235,4.7783939
10626.0,,Toekomstlaan,18.0,9160,Lokeren,Oost-Vlaanderen,,y,,,51.12606666666667,3.9813,51.0381763,3.9813
10627.0,,Weverijstraat,11.0,9600,Ronse,Oost-Vlaanderen,,y,,,50.7457,3.6005,50.7457,3.6005
10628.0,,Noorderlaan,175.0,2030,Antwerpen,Antwerpen,,y,,,51.2199,4.4035,51.2614163,4.419407
10629.0,,Centrum Zuid,1049.0,3530,Houthalen,Limburg,,y,,,51.0408,5.378399999999999,51.0408,5.378399999999999
10630.0,,Toekomstlaan,1.0,2200,Herentals,Antwerpen,,y,,,51.14556666666667,4.830633333333334,51.0381763,4.830633333333334
10631.0,,Telecomlaan,,1831,Diegem,Vlaams-Brabant,,y,,,50.8973,4.4335,50.8833365,4.4405855
